Nom,"Émission de CO2 (en tonnes, en 2022)",Population (2022),Continent
Chine,12667428430,1425179569,Asie
États-Unis,4853780240,341534046,Amérique du Nord
Inde,2693034100,1425423212,Asie
Russie,1909039310,145579899,Europe
Japon,1082645430,124997578,Asie
Indonésie,692236110,278830529,Asie
Iran,686415730,89524246,Asie
Allemagne,673595260,84086227,Europe
Corée du Sud,635502970,51782512,Asie
Arabie saoudite,607907500,32175352,Asie
Canada,582072950,38821259,Amérique du Nord
Mexique,487774010,128613117,Amérique du Nord
Turquie,481247520,87058473,Asie
Brésil,466770410,210306415,Amérique du Sud
Afrique du Sud,404974510,62378410,Afrique
Australie,393162550,26200984,Océanie
Royaume-Uni,340610260,68179315,Europe
Viêt Nam,327905620,99680655,Asie
Italie,322948740,59619115,Europe
Pologne,321954000,38385739,Europe
France,315299470,66277409,Europe
Thaïlande,282445820,71735329,Asie
Malaisie,277531770,34695493,Asie
Taïwan,275573980,23420111,Asie
Égypte,265961280,112618250,Afrique
Espagne,254363430,47828382,Europe
Kazakhstan,245886290,20034609,Asie
Émirats arabes unis,218799350,10242086,Asie
Pakistan,199329850,243700667,Asie
Irak,193836310,44070551,Asie
Argentine,184037200,45407904,Amérique du Sud
Algérie,177079430,45477389,Afrique
Philippines,155380930,113964338,Asie
Pays-Bas,134663630,17904421,Europe
Ukraine,132541470,41048766,Europe
Ouzbékistan,132433520,34938955,Asie
Nigéria,122750410,223150896,Afrique
Koweït,110119570,4589511,Asie
Bangladesh,109075300,169384897,Asie
Qatar,102617980,2892455,Asie
République tchèque (Tchéquie),101544650,10673213,Europe
Venezuela,96924940,28213017,Amérique du Sud
Chili,92858760,19553036,Amérique du Sud
Oman,91649080,4730226,Asie
Belgique,90414850,11641820,Europe
Colombie,88469810,51737944,Amérique du Sud
Roumanie,77289010,19166772,Europe
Maroc,72642020,37329064,Afrique
Turkménistan,69882930,7230193,Asie
Libye,62743000,7223805,Afrique
Israël,61771180,9103151,Asie
Pérou,61610390,33475438,Amérique du Sud
Autriche,61174530,9064677,Europe
Biélorussie,57411420,9173237,Europe
Grèce,56777160,10412480,Europe
Corée du Nord,54403780,26328845,Asie
Singapour,53439690,5649885,Asie
Bulgarie,50103300,6825864,Europe
Hongrie,47291880,9684306,Europe
Équateur,46106910,17823897,Amérique du Sud
Norvège,42283660,5456801,Europe
Portugal,41281720,10417073,Europe
Bahreïn,37955110,1533459,Asie
Suède,37850250,10487338,Europe
Irlande,37785560,5110016,Europe
Myanmar,37394010,53756787,Asie
Finlande,37324670,5569299,Europe
Azerbaïdjan,37129640,10295304,Asie
Suisse,36105180,8792182,Europe
Tunisie,35915380,12119334,Afrique
Slovaquie,35233230,5473197,Europe
Hong Kong,32439160,7465915,Asie
Nouvelle-Zélande,32371130,5131734,Océanie
Trinité-et-Tobago,29217380,1495921,Amérique du Nord
Danemark,29158760,5902904,Europe
Syrie,28237370,22462173,Asie
Cuba,24770800,11059820,Amérique du Nord
Soudan,24523230,49383346,Afrique
Ghana,24452990,33149152,Afrique
Liban,23766110,5744489,Asie
Jordanie,23578900,11256263,Asie
République dominicaine,23456970,11230734,Amérique du Nord
Mongolie,22095340,3386015,Asie
Bolivie,21959530,12077154,Amérique du Sud
Bosnie-Herzégovine,21826660,3204802,Europe
Kenya,21527440,54252461,Afrique
Éthiopie,21106910,125384287,Afrique
Angola,20185660,35635029,Afrique
Laos,20125910,7559007,Asie
Guatemala,20090150,17847877,Amérique du Nord
Sri Lanka,18535920,22834965,Asie
Cambodge,17618910,17201724,Asie
Croatie,17224970,3907027,Europe
Tanzanie,16978750,64711821,Afrique
Népal,15847310,29715436,Asie
